month,origin_state,record_type,destination_state,weighted_transition_count,origin_mass,transition_probability,metric_name,metric_value
2019-01,occ22_04,matrix,occ22_02,16334.4168,2479896.7952,0.006586732492907091,,
2019-01,occ22_04,matrix,occ22_03,30909.5271,2479896.7952,0.012464037680853243,,
2019-01,occ22_04,matrix,occ22_04,2223181.8155,2479896.7952,0.8964815873802134,,
2019-01,occ22_04,matrix,occ22_05,5984.0637,2479896.7952,0.0024130293291166555,,
2019-01,occ22_04,matrix,occ22_09,27206.642,2479896.7952,0.010970876712555219,,
2019-01,occ22_04,matrix,occ22_10,13343.569,2479896.7952,0.0053806952877342865,,
2019-01,occ22_04,matrix,occ22_12,792.3161,2479896.7952,0.00031949559414471557,,
2019-01,occ22_04,matrix,occ22_13,764.0467,2479896.7952,0.00030809616814653803,,
2019-01,occ22_04,matrix,occ22_14,6191.6185000000005,2479896.7952,0.0024967242636807618,,
2019-01,occ22_04,matrix,occ22_15,5049.5921,2479896.7952,0.0020362105833491985,,
2019-01,occ22_04,matrix,occ22_16,7175.094599999999,2479896.7952,0.0028933037108188763,,
2019-01,occ22_04,matrix,occ22_17,13776.8866,2479896.7952,0.005555427397892546,,
2019-01,occ22_04,matrix,occ22_19,15962.2543,2479896.7952,0.006436660723501063,,
2019-01,occ22_04,matrix,occ22_20,7159.5587000000005,2479896.7952,0.0028870389743064257,,
2019-01,occ22_04,matrix,occ22_21,11458.8501,2479896.7952,0.00462069636211448,,
2019-01,occ22_04,matrix,occ22_22,7591.0848,2479896.7952,0.0030610486753694884,,
2019-01,occ22_04,matrix,unemployed,8133.8887,2479896.7952,0.003279930324416591,,
2019-01,occ22_04,summary,,,,,nilf_entry_rate,0.015478827616656615
2019-01,occ22_04,summary,,,,,occ_switch_rate,0.08475965467871337
2019-01,occ22_04,summary,,,,,retention_rate,0.8964815873802134
2019-01,occ22_04,summary,,,,,unemployment_entry_rate,0.003279930324416591
2019-01,occ22_05,matrix,nilf,19300.7013,1112759.2375,0.017344903236536827,,
2019-01,occ22_05,matrix,occ22_01,6635.4748,1112759.2375,0.005963082198183055,,
2019-01,occ22_05,matrix,occ22_02,753.8785,1112759.2375,0.0006774857261070367,,
2019-01,occ22_05,matrix,occ22_03,2029.0449,1112759.2375,0.0018234356827794927,,
2019-01,occ22_05,matrix,occ22_04,3859.6855,1112759.2375,0.0034685719695047687,,
2019-01,occ22_05,matrix,occ22_05,1043170.2081,1112759.2375,0.9374626360718035,,
2019-01,occ22_05,matrix,occ22_06,3287.9631,1112759.2375,0.0029547839183855797,,
2019-01,occ22_05,matrix,occ22_08,8336.0828,1112759.2375,0.007491362479028623,,
2019-01,occ22_05,matrix,occ22_09,444.2105,1112759.2375,0.0003991973151334994,,
2019-01,occ22_05,matrix,occ22_10,3364.5637,1112759.2375,0.003023622349394336,,
2019-01,occ22_05,matrix,occ22_15,3422.9821,1112759.2375,0.0030761210373686067,,
2019-01,occ22_05,matrix,occ22_16,3551.8458,1112759.2375,0.0031919265913979886,,
2019-01,occ22_05,matrix,occ22_19,3768.833,1112759.2375,0.0033869258263515426,,
2019-01,occ22_05,matrix,occ22_21,2258.7531,1112759.2375,0.0020298668605750396,,
2019-01,occ22_05,matrix,unemployed,8575.0103,1112759.2375,0.007706078737450157,,
2019-01,occ22_05,summary,,,,,nilf_entry_rate,0.017344903236536827
2019-01,occ22_05,summary,,,,,occ_switch_rate,0.037486381954209565
2019-01,occ22_05,summary,,,,,retention_rate,0.9374626360718035
2019-01,occ22_05,summary,,,,,unemployment_entry_rate,0.007706078737450157
2019-01,occ22_06,matrix,nilf,28015.783,1904857.0385,0.014707551503214816,,
2019-01,occ22_06,matrix,occ22_01,14565.1498,1904857.0385,0.00764632174783546,,
2019-01,occ22_06,matrix,occ22_02,15675.5868,1904857.0385,0.00822927205725838,,
2019-01,occ22_06,matrix,occ22_03,4894.2943,1904857.0385,0.002569376179460724,,
2019-01,occ22_06,matrix,occ22_06,1766221.2774,1904857.0385,0.927219860442036,,
2019-01,occ22_06,matrix,occ22_08,3623.1977,1904857.0385,0.0019020837925207898,,
2019-01,occ22_06,matrix,occ22_10,3338.982,1904857.0385,0.0017528780021356968,,
2019-01,occ22_06,matrix,occ22_11,4683.1285,1904857.0385,0.0024585196712125857,,
2019-01,occ22_06,matrix,occ22_12,1868.1566,1904857.0385,0.0009807332320703184,,
2019-01,occ22_06,matrix,occ22_15,21424.3996,1904857.0385,0.011247248043806411,,
2019-01,occ22_06,matrix,occ22_16,3963.7256,1904857.0385,0.0020808520114041096,,
2019-01,occ22_06,matrix,occ22_17,14688.0396,1904857.0385,0.007710835670673876,,
2019-01,occ22_06,matrix,occ22_19,2912.4883,1904857.0385,0.0015289799922693777,,
