month,sector6_code,sector6_label,ces_payroll_employment_thousands,ces_avg_weekly_hours,payroll_index_aug2023_100,hours_index_aug2023_100,employment_series_id,hours_series_id
2020-07,MFG,Manufacturing,11973.0,39.8,93.09540471191976,99.49999999999999,CES3000000001,CES3000000002
2020-07,INF,Information,2622.0,36.1,87.95706138879571,98.36512261580381,CES5000000001,CES5000000002
2020-07,FAS,Financial activities,8623.0,37.6,93.79963015337756,100.80428954423593,CES5500000001,CES5500000002
2020-07,PBS,Professional and business services,19953.0,36.5,87.63615600843289,100.27472527472527,CES6000000001,CES6000000002
2020-07,HCS,Health care and social assistance,22923.0,33.4,89.73927341058565,100.0,CES6500000001,CES6500000002
2020-07,RET,Retail trade,14675.8,30.7,94.49237663541773,102.67558528428094,CES4200000001,CES4200000002
2020-08,MFG,Manufacturing,11999.0,40.1,93.29756628566986,100.25,CES3000000001,CES3000000002
2020-08,INF,Information,2640.0,36.7,88.56088560885608,100.0,CES5000000001,CES5000000002
2020-08,FAS,Financial activities,8649.0,37.6,94.08245404111824,100.80428954423593,CES5500000001,CES5500000002
2020-08,PBS,Professional and business services,20147.0,36.6,88.48822909346451,100.54945054945054,CES6000000001,CES6000000002
2020-08,HCS,Health care and social assistance,23124.0,33.4,90.52615095521453,100.0,CES6500000001,CES6500000002
2020-08,RET,Retail trade,14942.7,30.8,96.21085299268569,103.01003344481605,CES4200000001,CES4200000002
2020-09,MFG,Manufacturing,12057.0,40.2,93.74854210403547,100.50000000000001,CES3000000001,CES3000000002
2020-09,INF,Information,2695.0,36.7,90.40590405904058,100.0,CES5000000001,CES5000000002
2020-09,FAS,Financial activities,8674.0,37.7,94.35440008702274,101.07238605898125,CES5500000001,CES5500000002
2020-09,PBS,Professional and business services,20267.0,36.5,89.01528460997892,100.27472527472527,CES6000000001,CES6000000002
2020-09,HCS,Health care and social assistance,23189.0,33.5,90.7806138427811,100.2994011976048,CES6500000001,CES6500000002
2020-09,RET,Retail trade,14981.1,30.9,96.45809724940764,103.34448160535116,CES4200000001,CES4200000002
2020-10,MFG,Manufacturing,12086.0,40.5,93.97403001321825,101.25,CES3000000001,CES3000000002
2020-10,INF,Information,2684.0,36.8,90.03690036900369,100.2724795640327,CES5000000001,CES5000000002
2020-10,FAS,Financial activities,8691.0,37.7,94.53932339823778,101.07238605898125,CES5500000001,CES5500000002
2020-10,PBS,Professional and business services,20455.0,36.7,89.84100491918483,100.82417582417584,CES6000000001,CES6000000002
2020-10,HCS,Health care and social assistance,23278.0,33.5,91.12903225806451,100.2994011976048,CES6500000001,CES6500000002
2020-10,RET,Retail trade,15090.3,30.8,97.1611981044607,103.01003344481605,CES4200000001,CES4200000002
2020-11,MFG,Manufacturing,12118.0,40.4,94.22284425783376,101.0,CES3000000001,CES3000000002
2020-11,INF,Information,2696.0,37.0,90.43944984904394,100.8174386920981,CES5000000001,CES5000000002
2020-11,FAS,Financial activities,8706.0,37.7,94.70249102578049,101.07238605898125,CES5500000001,CES5500000002
2020-11,PBS,Professional and business services,20602.0,36.7,90.48664792691497,100.82417582417584,CES6000000001,CES6000000002
2020-11,HCS,Health care and social assistance,23337.0,33.5,91.36000626370185,100.2994011976048,CES6500000001,CES6500000002
2020-11,RET,Retail trade,15126.8,30.8,97.39620892139692,103.01003344481605,CES4200000001,CES4200000002
2020-12,MFG,Manufacturing,12153.0,40.2,94.49498483788197,100.50000000000001,CES3000000001,CES3000000002
2020-12,INF,Information,2712.0,37.1,90.97618248909762,101.08991825613079,CES5000000001,CES5000000002
2020-12,FAS,Financial activities,8718.0,37.8,94.83302512781464,101.34048257372655,CES5500000001,CES5500000002
2020-12,PBS,Professional and business services,20770.0,36.7,91.22452565003513,100.82417582417584,CES6000000001,CES6000000002
2020-12,HCS,Health care and social assistance,23334.0,33.6,91.34826182273724,100.5988023952096,CES6500000001,CES6500000002
2020-12,RET,Retail trade,15144.2,30.5,97.50824147522407,102.0066889632107,CES4200000001,CES4200000002
2021-01,MFG,Manufacturing,12142.0,40.5,94.4094549412954,101.25,CES3000000001,CES3000000002
2021-01,INF,Information,2747.0,37.5,92.15028513921503,102.17983651226157,CES5000000001,CES5000000002
2021-01,FAS,Financial activities,8722.0,37.8,94.87653649515936,101.34048257372655,CES5500000001,CES5500000002
2021-01,PBS,Professional and business services,20922.0,36.9,91.89212930428671,101.37362637362637,CES6000000001,CES6000000002
2021-01,HCS,Health care and social assistance,23362.0,33.7,91.4578766050736,100.89820359281438,CES6500000001,CES6500000002
2021-01,RET,Retail trade,15165.9,30.7,97.64796023488204,102.67558528428094,CES4200000001,CES4200000002
2021-02,MFG,Manufacturing,12172.0,40.2,94.64271829562242,100.50000000000001,CES3000000001,CES3000000002
2021-02,INF,Information,2764.0,37.2,92.72056356927206,101.3623978201635,CES5000000001,CES5000000002
2021-02,FAS,Financial activities,8718.0,37.7,94.83302512781464,101.07238605898125,CES5500000001,CES5500000002
2021-02,PBS,Professional and business services,20999.0,36.4,92.2303232607168,100.0,CES6000000001,CES6000000002
2021-02,HCS,Health care and social assistance,23413.0,33.2,91.65753210147197,99.40119760479044,CES6500000001,CES6500000002
2021-02,RET,Retail trade,15188.9,30.5,97.79604924281445,102.0066889632107,CES4200000001,CES4200000002
2021-03,MFG,Manufacturing,12229.0,40.4,95.08591866884379,101.0,CES3000000001,CES3000000002
2021-03,INF,Information,2770.0,37.1,92.92183830929218,101.08991825613079,CES5000000001,CES5000000002
2021-03,FAS,Financial activities,8736.0,37.6,95.02882628086587,100.80428954423593,CES5500000001,CES5500000002
2021-03,PBS,Professional and business services,21109.0,36.7,92.71345748418834,100.82417582417584,CES6000000001,CES6000000002
2021-03,HCS,Health care and social assistance,23536.0,33.5,92.13905418102098,100.2994011976048,CES6500000001,CES6500000002
2021-03,RET,Retail trade,15232.8,30.7,98.07870608838981,102.67558528428094,CES4200000001,CES4200000002
2021-04,MFG,Manufacturing,12193.0,40.4,94.80600264365134,101.0,CES3000000001,CES3000000002
2021-04,INF,Information,2796.0,37.2,93.7940288493794,101.3623978201635,CES5000000001,CES5000000002
2021-04,FAS,Financial activities,8750.0,37.6,95.18111606657239,100.80428954423593,CES5500000001,CES5500000002
2021-04,PBS,Professional and business services,21103.0,36.7,92.68710470836261,100.82417582417584,CES6000000001,CES6000000002
2021-04,HCS,Health care and social assistance,23584.0,33.3,92.32696523645475,99.7005988023952,CES6500000001,CES6500000002
2021-04,RET,Retail trade,15189.4,30.9,97.79926856907386,103.34448160535116,CES4200000001,CES4200000002
2021-05,MFG,Manufacturing,12216.0,40.4,94.98483788196874,101.0,CES3000000001,CES3000000002
2021-05,INF,Information,2816.0,37.2,94.4649446494465,101.3623978201635,CES5000000001,CES5000000002
2021-05,FAS,Financial activities,8761.0,37.6,95.30077232677037,100.80428954423593,CES5500000001,CES5500000002
2021-05,PBS,Professional and business services,21176.0,36.8,93.00773014757554,101.0989010989011,CES6000000001,CES6000000002
2021-05,HCS,Health care and social assistance,23616.0,33.4,92.45223927341058,100.0,CES6500000001,CES6500000002
2021-05,RET,Retail trade,15191.5,30.9,97.81278973936334,103.34448160535116,CES4200000001,CES4200000002
2021-06,MFG,Manufacturing,12247.0,40.3,95.22587668144001,100.74999999999999,CES3000000001,CES3000000002
2021-06,INF,Information,2824.0,37.0,94.73331096947332,100.8174386920981,CES5000000001,CES5000000002
2021-06,FAS,Financial activities,8773.0,37.6,95.43130642880453,100.80428954423593,CES5500000001,CES5500000002
2021-06,PBS,Professional and business services,21257.0,36.6,93.36349262122276,100.54945054945054,CES6000000001,CES6000000002
2021-06,HCS,Health care and social assistance,23642.0,33.4,92.5540244284372,100.0,CES6500000001,CES6500000002
2021-06,RET,Retail trade,15244.8,30.9,98.15596991861543,103.34448160535116,CES4200000001,CES4200000002
2021-07,MFG,Manufacturing,12305.0,40.4,95.6768524998056,101.0,CES3000000001,CES3000000002
2021-07,INF,Information,2881.0,37.1,96.64542099966454,101.08991825613079,CES5000000001,CES5000000002
2021-07,FAS,Financial activities,8808.0,37.6,95.81203089307081,100.80428954423593,CES5500000001,CES5500000002
2021-07,PBS,Professional and business services,21418.0,36.8,94.07062543921293,101.0989010989011,CES6000000001,CES6000000002
2021-07,HCS,Health care and social assistance,23684.0,33.4,92.71844660194175,100.0,CES6500000001,CES6500000002
2021-07,RET,Retail trade,15238.2,30.7,98.11347481199134,102.67558528428094,CES4200000001,CES4200000002
2021-08,MFG,Manufacturing,12353.0,40.5,96.05007386672887,101.25,CES3000000001,CES3000000002
2021-08,INF,Information,2903.0,36.9,97.38342837973835,100.54495912806539,CES5000000001,CES5000000002
2021-08,FAS,Financial activities,8826.0,37.6,96.00783204612206,100.80428954423593,CES5500000001,CES5500000002
2021-08,PBS,Professional and business services,21535.0,36.6,94.58450456781448,100.54945054945054,CES6000000001,CES6000000002
2021-08,HCS,Health care and social assistance,23708.0,33.4,92.81240212965864,100.0,CES6500000001,CES6500000002
2021-08,RET,Retail trade,15216.0,30.8,97.97053672607396,103.01003344481605,CES4200000001,CES4200000002
2021-09,MFG,Manufacturing,12393.0,40.5,96.36109167249826,101.25,CES3000000001,CES3000000002
2021-09,INF,Information,2917.0,36.8,97.85306943978532,100.2724795640327,CES5000000001,CES5000000002
2021-09,FAS,Financial activities,8851.0,37.6,96.27977809202655,100.80428954423593,CES5500000001,CES5500000002
2021-09,PBS,Professional and business services,21636.0,36.7,95.02810962754744,100.82417582417584,CES6000000001,CES6000000002
2021-09,HCS,Health care and social assistance,23705.0,33.4,92.80065768869402,100.0,CES6500000001,CES6500000002
2021-09,RET,Retail trade,15280.1,30.7,98.38325435252911,102.67558528428094,CES4200000001,CES4200000002
2021-10,MFG,Manufacturing,12453.0,40.3,96.82761838115232,100.74999999999999,CES3000000001,CES3000000002
2021-10,INF,Information,2938.0,36.8,98.55753102985575,100.2724795640327,CES5000000001,CES5000000002
2021-10,FAS,Financial activities,8879.0,37.6,96.58435766343956,100.80428954423593,CES5500000001,CES5500000002
2021-10,PBS,Professional and business services,21873.0,36.7,96.06904427266339,100.82417582417584,CES6000000001,CES6000000002
2021-10,HCS,Health care and social assistance,23800.0,33.4,93.17256498590667,100.0,CES6500000001,CES6500000002
2021-10,RET,Retail trade,15348.1,30.7,98.82108272380756,102.67558528428094,CES4200000001,CES4200000002
2021-11,MFG,Manufacturing,12498.0,40.5,97.17751341264287,101.25,CES3000000001,CES3000000002
2021-11,INF,Information,2957.0,36.9,99.19490103991949,100.54495912806539,CES5000000001,CES5000000002
2021-11,FAS,Financial activities,8911.0,37.5,96.93244860219733,100.53619302949062,CES5500000001,CES5500000002
2021-11,PBS,Professional and business services,22019.0,36.7,96.71029515108924,100.82417582417584,CES6000000001,CES6000000002
2021-11,HCS,Health care and social assistance,23845.0,33.4,93.34873160037583,100.0,CES6500000001,CES6500000002
2021-11,RET,Retail trade,15407.0,31.2,99.20031935716493,104.34782608695652,CES4200000001,CES4200000002
2021-12,MFG,Manufacturing,12537.0,40.5,97.48075577326803,101.25,CES3000000001,CES3000000002
2021-12,INF,Information,2967.0,37.0,99.53035893995303,100.8174386920981,CES5000000001,CES5000000002
2021-12,FAS,Financial activities,8938.0,37.5,97.22615033177418,100.53619302949062,CES5500000001,CES5500000002
2021-12,PBS,Professional and business services,22129.0,36.7,97.1934293745608,100.82417582417584,CES6000000001,CES6000000002
2021-12,HCS,Health care and social assistance,23886.0,33.5,93.50923896022549,100.2994011976048,CES6500000001,CES6500000002
2021-12,RET,Retail trade,15421.7,31.4,99.2949675491913,105.01672240802675,CES4200000001,CES4200000002
2022-01,MFG,Manufacturing,12564.0,40.3,97.69069279216235,100.74999999999999,CES3000000001,CES3000000002
2022-01,INF,Information,2984.0,36.8,100.10063737001008,100.2724795640327,CES5000000001,CES5000000002
2022-01,FAS,Financial activities,8934.0,37.5,97.18263896442946,100.53619302949062,CES5500000001,CES5500000002
2022-01,PBS,Professional and business services,22183.0,36.7,97.43060435699226,100.82417582417584,CES6000000001,CES6000000002
2022-01,HCS,Health care and social assistance,23869.0,33.4,93.4426871280927,100.0,CES6500000001,CES6500000002
2022-01,RET,Retail trade,15428.6,30.1,99.33939425157104,100.66889632107024,CES4200000001,CES4200000002
2022-02,MFG,Manufacturing,12601.0,40.6,97.97838426249903,101.50000000000001,CES3000000001,CES3000000002
2022-02,INF,Information,2990.0,36.9,100.30191211003019,100.54495912806539,CES5000000001,CES5000000002
2022-02,FAS,Financial activities,8976.0,37.6,97.639508321549,100.80428954423593,CES5500000001,CES5500000002
2022-02,PBS,Professional and business services,22372.0,36.7,98.26071679550246,100.82417582417584,CES6000000001,CES6000000002
2022-02,HCS,Health care and social assistance,23984.0,33.4,93.89289069840275,100.0,CES6500000001,CES6500000002
2022-02,RET,Retail trade,15537.4,30.4,100.03991964561656,101.67224080267559,CES4200000001,CES4200000002
2022-03,MFG,Manufacturing,12674.0,40.6,98.54599175802815,101.50000000000001,CES3000000001,CES3000000002
2022-03,INF,Information,3018.0,36.9,101.24119423012412,100.54495912806539,CES5000000001,CES5000000002
2022-03,FAS,Financial activities,9002.0,37.6,97.92233220928968,100.80428954423593,CES5500000001,CES5500000002
2022-03,PBS,Professional and business services,22483.0,36.7,98.74824314827828,100.82417582417584,CES6000000001,CES6000000002
2022-03,HCS,Health care and social assistance,24057.0,33.5,94.17867209520827,100.2994011976048,CES6500000001,CES6500000002
2022-03,RET,Retail trade,15537.1,30.1,100.03798804986093,100.66889632107024,CES4200000001,CES4200000002
2022-04,MFG,Manufacturing,12726.0,40.4,98.95031490552833,101.0,CES3000000001,CES3000000002
2022-04,INF,Information,3034.0,36.8,101.7779268701778,100.2724795640327,CES5000000001,CES5000000002
2022-04,FAS,Financial activities,9037.0,37.6,98.30305667355597,100.80428954423593,CES5500000001,CES5500000002
2022-04,PBS,Professional and business services,22468.0,36.7,98.68236120871398,100.82417582417584,CES6000000001,CES6000000002
2022-04,HCS,Health care and social assistance,24117.0,33.5,94.41356091450047,100.2994011976048,CES6500000001,CES6500000002
2022-04,RET,Retail trade,15488.0,30.1,99.7218502111878,100.66889632107024,CES4200000001,CES4200000002
2022-05,MFG,Manufacturing,12735.0,40.4,99.02029391182646,101.0,CES3000000001,CES3000000002
2022-05,INF,Information,3057.0,36.8,102.54948004025495,100.2724795640327,CES5000000001,CES5000000002
2022-05,FAS,Financial activities,9049.0,37.5,98.43359077559012,100.53619302949062,CES5500000001,CES5500000002
2022-05,PBS,Professional and business services,22503.0,36.6,98.83608573436402,100.54945054945054,CES6000000001,CES6000000002
2022-05,HCS,Health care and social assistance,24176.0,33.5,94.6445349201378,100.2994011976048,CES6500000001,CES6500000002
2022-05,RET,Retail trade,15418.7,30.1,99.27565159163491,100.66889632107024,CES4200000001,CES4200000002
2022-06,MFG,Manufacturing,12767.0,40.3,99.26910815644196,100.74999999999999,CES3000000001,CES3000000002
2022-06,INF,Information,3076.0,36.7,103.1868500503187,100.0,CES5000000001,CES5000000002
