quarter,sector6_code,sector6_label,gross_job_gains_rate,gross_job_losses_rate,openings_rate,closings_rate,gains_series_id,losses_series_id,openings_series_id,closings_series_id
2023-Q1,PBS,Professional and business services,6.7,6.4,1.4,1.4,BDS0000000000200070110001RQ5,BDS0000000000200070110004RQ5,BDS0000000000200070110003RQ5,BDS0000000000200070110006RQ5
2023-Q1,HCS,Health care and social assistance,5.3,3.8,1.0,0.9,BDS0000000000200080110001RQ5,BDS0000000000200080110004RQ5,BDS0000000000200080110003RQ5,BDS0000000000200080110006RQ5
2023-Q1,RET,Retail trade,5.8,4.8,0.8,0.7,BDS0000000000200020110001RQ5,BDS0000000000200020110004RQ5,BDS0000000000200020110003RQ5,BDS0000000000200020110006RQ5
2023-Q2,MFG,Manufacturing,3.4,3.5,0.4,0.4,BDS0000000000100030110001RQ5,BDS0000000000100030110004RQ5,BDS0000000000100030110003RQ5,BDS0000000000100030110006RQ5
2023-Q2,INF,Information,5.0,7.4,1.1,1.3,BDS0000000000200050110001RQ5,BDS0000000000200050110004RQ5,BDS0000000000200050110003RQ5,BDS0000000000200050110006RQ5
2023-Q2,FAS,Financial activities,5.2,4.8,1.1,1.2,BDS0000000000200060110001RQ5,BDS0000000000200060110004RQ5,BDS0000000000200060110003RQ5,BDS0000000000200060110006RQ5
2023-Q2,PBS,Professional and business services,6.7,7.0,1.5,1.4,BDS0000000000200070110001RQ5,BDS0000000000200070110004RQ5,BDS0000000000200070110003RQ5,BDS0000000000200070110006RQ5
2023-Q2,HCS,Health care and social assistance,5.3,4.1,1.0,0.9,BDS0000000000200080110001RQ5,BDS0000000000200080110004RQ5,BDS0000000000200080110003RQ5,BDS0000000000200080110006RQ5
2023-Q2,RET,Retail trade,5.5,5.7,0.8,0.7,BDS0000000000200020110001RQ5,BDS0000000000200020110004RQ5,BDS0000000000200020110003RQ5,BDS0000000000200020110006RQ5
2023-Q3,MFG,Manufacturing,3.1,3.5,0.4,0.4,BDS0000000000100030110001RQ5,BDS0000000000100030110004RQ5,BDS0000000000100030110003RQ5,BDS0000000000100030110006RQ5
