abs_reference_year,industry_code,industry_label,firm_size_class,measure_key,measure_label,weighted_share,source_table_id
2018,61,Educational services,All firms,ai_workforce_increased,Artificial Intelligence: Increased number of workers employed by this business,0.0,ABSTCB2018
2018,61,Educational services,All firms,ai_workforce_unchanged,Artificial Intelligence: Did not change number of workers employed by this business,0.791,ABSTCB2018
2018,62,Health care and social assistance,All firms,ai_total_use,Artificial Intelligence: Total use,0.033,ABSTCB2018
2018,62,Health care and social assistance,All firms,ai_workforce_decreased,Artificial Intelligence: Decreased number of workers employed by this business,0.041,ABSTCB2018
2018,62,Health care and social assistance,All firms,ai_workforce_increased,Artificial Intelligence: Increased number of workers employed by this business,0.137,ABSTCB2018
2018,62,Health care and social assistance,All firms,ai_workforce_unchanged,Artificial Intelligence: Did not change number of workers employed by this business,0.822,ABSTCB2018
2018,71,"Arts, entertainment, and recreation",All firms,ai_total_use,Artificial Intelligence: Total use,0.016,ABSTCB2018
2018,71,"Arts, entertainment, and recreation",All firms,ai_workforce_decreased,Artificial Intelligence: Decreased number of workers employed by this business,0.064,ABSTCB2018
2018,71,"Arts, entertainment, and recreation",All firms,ai_workforce_increased,Artificial Intelligence: Increased number of workers employed by this business,0.127,ABSTCB2018
2018,71,"Arts, entertainment, and recreation",All firms,ai_workforce_unchanged,Artificial Intelligence: Did not change number of workers employed by this business,0.81,ABSTCB2018
2018,72,Accommodation and food services,All firms,ai_total_use,Artificial Intelligence: Total use,0.02,ABSTCB2018
2018,72,Accommodation and food services,All firms,ai_workforce_decreased,Artificial Intelligence: Decreased number of workers employed by this business,0.126,ABSTCB2018
2018,72,Accommodation and food services,All firms,ai_workforce_increased,Artificial Intelligence: Increased number of workers employed by this business,0.177,ABSTCB2018
2018,72,Accommodation and food services,All firms,ai_workforce_unchanged,Artificial Intelligence: Did not change number of workers employed by this business,0.697,ABSTCB2018
2018,81,Other services (except public administration),All firms,ai_total_use,Artificial Intelligence: Total use,0.018,ABSTCB2018
2018,81,Other services (except public administration),All firms,ai_workforce_decreased,Artificial Intelligence: Decreased number of workers employed by this business,0.0,ABSTCB2018
2018,81,Other services (except public administration),All firms,ai_workforce_increased,Artificial Intelligence: Increased number of workers employed by this business,0.144,ABSTCB2018
2018,81,Other services (except public administration),All firms,ai_workforce_unchanged,Artificial Intelligence: Did not change number of workers employed by this business,0.766,ABSTCB2018
2018,99,Industries not classified,All firms,ai_total_use,Artificial Intelligence: Total use,0.039,ABSTCB2018
2018,99,Industries not classified,All firms,ai_workforce_decreased,Artificial Intelligence: Decreased number of workers employed by this business,0.0,ABSTCB2018
2018,99,Industries not classified,All firms,ai_workforce_increased,Artificial Intelligence: Increased number of workers employed by this business,0.0,ABSTCB2018
2018,99,Industries not classified,All firms,ai_workforce_unchanged,Artificial Intelligence: Did not change number of workers employed by this business,0.904,ABSTCB2018
