month,origin_state,destination_state,weighted_transition_count
2019-01,occ22_18,occ22_03,2314.3351
2019-01,occ22_18,occ22_13,11636.802599999999
2019-01,occ22_18,occ22_14,4212.8596
2019-01,occ22_18,occ22_16,3624.4518000000003
2019-01,occ22_18,occ22_18,690375.9916
2019-01,occ22_18,occ22_19,10880.162199999999
2019-01,occ22_18,occ22_20,1980.4317
2019-01,occ22_18,occ22_21,1178.6469000000002
2019-01,occ22_18,occ22_22,20083.5063
2019-01,occ22_18,unemployed,18543.2477
2019-01,occ22_19,nilf,196705.8054
2019-01,occ22_19,occ22_01,48589.2088
2019-01,occ22_19,occ22_02,4159.5113
2019-01,occ22_19,occ22_03,6378.0995
2019-01,occ22_19,occ22_05,6870.2647
2019-01,occ22_19,occ22_06,6259.147800000001
2019-01,occ22_19,occ22_09,3925.7491
2019-01,occ22_19,occ22_12,6196.1419000000005
2019-01,occ22_19,occ22_13,31112.5897
2019-01,occ22_19,occ22_14,24767.3487
2019-01,occ22_19,occ22_15,4760.9061
2019-01,occ22_19,occ22_16,20006.7546
2019-01,occ22_19,occ22_17,23181.9029
2019-01,occ22_19,occ22_18,3830.0952
2019-01,occ22_19,occ22_19,5228926.7566
2019-01,occ22_19,occ22_20,37399.9133
2019-01,occ22_19,occ22_21,63612.2773
2019-01,occ22_19,occ22_22,34225.8187
2019-01,occ22_19,unemployed,183773.4288
2019-01,occ22_20,nilf,80055.1519
2019-01,occ22_20,occ22_01,18961.6042
2019-01,occ22_20,occ22_02,5776.5851999999995
2019-01,occ22_20,occ22_03,7010.6656
2019-01,occ22_20,occ22_04,8274.7822
2019-01,occ22_20,occ22_06,1351.3063
2019-01,occ22_20,occ22_13,1341.2439
2019-01,occ22_20,occ22_14,14488.5558
2019-01,occ22_20,occ22_15,1094.2619
2019-01,occ22_20,occ22_16,26283.0052
2019-01,occ22_20,occ22_17,5967.3159
2019-01,occ22_20,occ22_19,28712.59
2019-01,occ22_20,occ22_20,2905043.4741
