month,ai_relevance_tercile,mean_usual_weekly_hours,sum_composite_weight
2022-12,low,36.77616901837,48664477.7889
2022-12,middle,38.045846177374,47706211.2319
2022-12,high,40.671266400154,53560376.15
2023-01,low,36.582302221323,48284857.2297
2023-01,middle,37.962288205954,47446310.903
2023-01,high,40.581646946923,53820249.4324
2023-02,low,36.700308877468,48469665.375
2023-02,middle,37.695436112972,47947092.9331
2023-02,high,40.688705655671,54378736.2022
2023-03,low,36.84802317171,49238578.7677
2023-03,middle,37.774868981267,48301914.6589
2023-03,high,40.75039223328,54903249.1781
2023-04,low,36.920378311495,49571780.6672
2023-04,middle,37.853361605183,48125362.5077
2023-04,high,40.734387182067,54713116.8969
2023-05,low,36.908874454433,49929531.2349
2023-05,middle,37.868128601465,47355507.2563
2023-05,high,40.874047589309,55246929.2308
2023-06,low,37.231956686329,50045542.0382
2023-06,middle,38.229244184812,47324989.9678
2023-06,high,40.798133343814,55165721.067
2023-07,low,37.170556555721,50564639.0005
2023-07,middle,38.132619328918,47088109.9997
2023-07,high,40.843467518522,55285655.8555
2023-08,low,37.205438543209,50118973.2948
2023-08,middle,38.239190689641,47300604.0724
2023-08,high,40.812541601276,55153460.8866
2023-09,low,36.946334548261,49699881.5603
2023-09,middle,37.943030146004,48209293.6307
2023-09,high,40.753519494209,55178769.7572
2023-10,low,36.996568584097,49464120.7293
2023-10,middle,37.788335571008,47589438.938099995
2023-10,high,40.728746672356,55760600.4239
2023-11,low,36.700049647632,49940817.0561
2023-11,middle,37.708076237997,47683439.2559
2023-11,high,40.656844635433,55909415.4675
2023-12,low,36.612870763381,49493320.795700006
2023-12,middle,37.553772304733,47665757.9989
2023-12,high,40.451929346512,55063368.1947
2024-01,low,36.495295068535,48455938.2345
2024-01,middle,37.533087103406,47633481.8945
2024-01,high,40.427573721866,55147062.2972
2024-02,low,36.692217242035,49309006.0637
2024-02,middle,37.53852409932,48083852.141799994
2024-02,high,40.370778941442,54320074.8845
2024-03,low,36.599615513845,49405437.1196
2024-03,middle,37.342466744055,48631119.7619
2024-03,high,40.298304384519,55038238.0547
2024-04,low,36.82665704581,49801566.7612
2024-04,middle,37.548407379243,48250862.2062
2024-04,high,40.518381077892,55042905.6804
2024-05,low,36.737696529133,50138200.0712
2024-05,middle,37.776946605425,47678451.3787
2024-05,high,40.582310316188,55329799.21
2024-06,low,37.0611161046,49789452.6053
2024-06,middle,37.732516424666,46629900.908300005
2024-06,high,40.629573338724,56193105.5804
2024-07,low,37.211064346553,50498209.2403
2024-07,middle,37.919260899621,46523919.1245
2024-07,high,40.676755495592,55988365.9825
2024-08,low,37.174414316235,50460223.49059999
2024-08,middle,37.94716249289,46971131.057
2024-08,high,40.659658108808,55391162.23740001
2024-09,low,36.948204535349,49616319.8766
2024-09,middle,37.624737845837,47916376.7285
2024-09,high,40.604714454181,54775631.0338
2024-10,low,36.874615815447,49344470.3616
2024-10,middle,37.554973691137,47584289.570700005
2024-10,high,40.619629737651,55488870.3903
2024-11,low,36.672351268758,48453199.0075
2024-11,middle,37.506213101328,48559989.9114
2024-11,high,40.447068308096,55071248.4085
2024-12,low,36.543299944449,48132087.8087
2024-12,middle,37.496197751648,48319985.85779999
2024-12,high,40.483733343201,55237429.79010001
2025-01,low,36.566971409184,48330795.918
2025-01,middle,37.554546505028,48400826.7607
2025-01,high,40.423190610369,56111356.027
2025-02,low,36.518494805203,48324273.1263
2025-02,middle,37.4302966617,49675149.5934
2025-02,high,40.481864578595,56031903.561
2025-03,low,36.443035149349,49547605.0721
2025-03,middle,37.348885066935,48904794.9827
2025-03,high,40.523661570654,57039737.9725
2025-04,low,36.590570992205,50089358.44
2025-04,middle,37.355788423022,48731517.165
2025-04,high,40.470347230023,57089493.9628
2025-05,low,36.827954834048,50602116.7448
2025-05,middle,37.636035832558,48770327.7679
2025-05,high,40.444141111246,55796480.1655
2025-06,low,36.969086952255,50767271.9087
2025-06,middle,37.762369007282,48012852.6161
2025-06,high,40.418841809621,56254635.9555
2025-07,low,36.974691969702,51171254.8972
2025-07,middle,37.831093010159,47963793.9172
2025-07,high,40.501530151718,55902691.8959
2025-08,low,36.828018915364,50387565.1119
2025-08,middle,37.963565088912,48199852.1819
2025-08,high,40.454578540298,56609091.4631
2025-09,low,36.598408769361,50220528.5044
2025-09,middle,37.685155488417,49003557.7214
2025-09,high,40.565108496861,56603179.032
2025-11,low,36.394993920288,49330190.86919999
2025-11,middle,37.399803480004,50013645.7337
2025-11,high,40.398312854145,56549196.8283
2025-12,low,36.348646145485,49848407.13849999
2025-12,middle,37.571652618187,48597699.9995
2025-12,high,40.490682754056,56321580.4942
2026-01,low,36.313631054252,48538626.0315
2026-01,middle,37.391685117319,48579326.7928
2026-01,high,40.401024605342,55875919.4401
2026-02,low,36.387634121948,48433094.6188
2026-02,middle,37.33293775164,48344874.8047
2026-02,high,40.504941306362,56534269.1561
