month,sector6_code,sector6_label,ces_payroll_employment_thousands,index_aug2023_100,series_id
2020-10,RET,Retail trade,15090.3,97.1611981044607,CES4200000001
2020-11,MFG,Manufacturing,12118.0,94.22284425783376,CES3000000001
2020-11,INF,Information,2696.0,90.43944984904394,CES5000000001
2020-11,FAS,Financial activities,8706.0,94.70249102578049,CES5500000001
2020-11,PBS,Professional and business services,20602.0,90.48664792691497,CES6000000001
2020-11,HCS,Health care and social assistance,23337.0,91.36000626370185,CES6500000001
2020-11,RET,Retail trade,15126.8,97.39620892139692,CES4200000001
2020-12,MFG,Manufacturing,12153.0,94.49498483788197,CES3000000001
2020-12,INF,Information,2712.0,90.97618248909762,CES5000000001
2020-12,FAS,Financial activities,8718.0,94.83302512781464,CES5500000001
2020-12,PBS,Professional and business services,20770.0,91.22452565003513,CES6000000001
2020-12,HCS,Health care and social assistance,23334.0,91.34826182273724,CES6500000001
2020-12,RET,Retail trade,15144.2,97.50824147522407,CES4200000001
2021-01,MFG,Manufacturing,12142.0,94.4094549412954,CES3000000001
2021-01,INF,Information,2747.0,92.15028513921503,CES5000000001
2021-01,FAS,Financial activities,8722.0,94.87653649515936,CES5500000001
2021-01,PBS,Professional and business services,20922.0,91.89212930428671,CES6000000001
2021-01,HCS,Health care and social assistance,23362.0,91.4578766050736,CES6500000001
2021-01,RET,Retail trade,15165.9,97.64796023488204,CES4200000001
2021-02,MFG,Manufacturing,12172.0,94.64271829562242,CES3000000001
2021-02,INF,Information,2764.0,92.72056356927206,CES5000000001
2021-02,FAS,Financial activities,8718.0,94.83302512781464,CES5500000001
2021-02,PBS,Professional and business services,20999.0,92.2303232607168,CES6000000001
2021-02,HCS,Health care and social assistance,23413.0,91.65753210147197,CES6500000001
2021-02,RET,Retail trade,15188.9,97.79604924281445,CES4200000001
2021-03,MFG,Manufacturing,12229.0,95.08591866884379,CES3000000001
2021-03,INF,Information,2770.0,92.92183830929218,CES5000000001
2021-03,FAS,Financial activities,8736.0,95.02882628086587,CES5500000001
2021-03,PBS,Professional and business services,21109.0,92.71345748418834,CES6000000001
2021-03,HCS,Health care and social assistance,23536.0,92.13905418102098,CES6500000001
2021-03,RET,Retail trade,15232.8,98.07870608838981,CES4200000001
2021-04,MFG,Manufacturing,12193.0,94.80600264365134,CES3000000001
2021-04,INF,Information,2796.0,93.7940288493794,CES5000000001
2021-04,FAS,Financial activities,8750.0,95.18111606657239,CES5500000001
2021-04,PBS,Professional and business services,21103.0,92.68710470836261,CES6000000001
2021-04,HCS,Health care and social assistance,23584.0,92.32696523645475,CES6500000001
2021-04,RET,Retail trade,15189.4,97.79926856907386,CES4200000001
2021-05,MFG,Manufacturing,12216.0,94.98483788196874,CES3000000001
2021-05,INF,Information,2816.0,94.4649446494465,CES5000000001
2021-05,FAS,Financial activities,8761.0,95.30077232677037,CES5500000001
2021-05,PBS,Professional and business services,21176.0,93.00773014757554,CES6000000001
2021-05,HCS,Health care and social assistance,23616.0,92.45223927341058,CES6500000001
2021-05,RET,Retail trade,15191.5,97.81278973936334,CES4200000001
2021-06,MFG,Manufacturing,12247.0,95.22587668144001,CES3000000001
2021-06,INF,Information,2824.0,94.73331096947332,CES5000000001
2021-06,FAS,Financial activities,8773.0,95.43130642880453,CES5500000001
2021-06,PBS,Professional and business services,21257.0,93.36349262122276,CES6000000001
2021-06,HCS,Health care and social assistance,23642.0,92.5540244284372,CES6500000001
2021-06,RET,Retail trade,15244.8,98.15596991861543,CES4200000001
2021-07,MFG,Manufacturing,12305.0,95.6768524998056,CES3000000001
2021-07,INF,Information,2881.0,96.64542099966454,CES5000000001
2021-07,FAS,Financial activities,8808.0,95.81203089307081,CES5500000001
2021-07,PBS,Professional and business services,21418.0,94.07062543921293,CES6000000001
2021-07,HCS,Health care and social assistance,23684.0,92.71844660194175,CES6500000001
2021-07,RET,Retail trade,15238.2,98.11347481199134,CES4200000001
2021-08,MFG,Manufacturing,12353.0,96.05007386672887,CES3000000001
2021-08,INF,Information,2903.0,97.38342837973835,CES5000000001
2021-08,FAS,Financial activities,8826.0,96.00783204612206,CES5500000001
2021-08,PBS,Professional and business services,21535.0,94.58450456781448,CES6000000001
2021-08,HCS,Health care and social assistance,23708.0,92.81240212965864,CES6500000001
2021-08,RET,Retail trade,15216.0,97.97053672607396,CES4200000001
2021-09,MFG,Manufacturing,12393.0,96.36109167249826,CES3000000001
2021-09,INF,Information,2917.0,97.85306943978532,CES5000000001
2021-09,FAS,Financial activities,8851.0,96.27977809202655,CES5500000001
2021-09,PBS,Professional and business services,21636.0,95.02810962754744,CES6000000001
2021-09,HCS,Health care and social assistance,23705.0,92.80065768869402,CES6500000001
2021-09,RET,Retail trade,15280.1,98.38325435252911,CES4200000001
2021-10,MFG,Manufacturing,12453.0,96.82761838115232,CES3000000001
2021-10,INF,Information,2938.0,98.55753102985575,CES5000000001
2021-10,FAS,Financial activities,8879.0,96.58435766343956,CES5500000001
2021-10,PBS,Professional and business services,21873.0,96.06904427266339,CES6000000001
2021-10,HCS,Health care and social assistance,23800.0,93.17256498590667,CES6500000001
2021-10,RET,Retail trade,15348.1,98.82108272380756,CES4200000001
2021-11,MFG,Manufacturing,12498.0,97.17751341264287,CES3000000001
2021-11,INF,Information,2957.0,99.19490103991949,CES5000000001
2021-11,FAS,Financial activities,8911.0,96.93244860219733,CES5500000001
2021-11,PBS,Professional and business services,22019.0,96.71029515108924,CES6000000001
2021-11,HCS,Health care and social assistance,23845.0,93.34873160037583,CES6500000001
2021-11,RET,Retail trade,15407.0,99.20031935716493,CES4200000001
2021-12,MFG,Manufacturing,12537.0,97.48075577326803,CES3000000001
2021-12,INF,Information,2967.0,99.53035893995303,CES5000000001
2021-12,FAS,Financial activities,8938.0,97.22615033177418,CES5500000001
2021-12,PBS,Professional and business services,22129.0,97.1934293745608,CES6000000001
