month,occ22_code,occ22_label,exposure_pct,adoption_mix_occ_month,awes_raw,awes_pct,sector6_coverage_share,coverage_flag_low
2023-09,occ22_18,"Farming, Fishing, and Forestry Occupations",0.1904761904761904,0.034109514547691795,0.00649705039003653,0.10047095761381476,0.1632273572497619,1
2023-09,occ22_19,Construction and Extraction Occupations,0.2857142857142857,0.05049200626487148,0.014426287504248993,0.25745682888540034,0.1118327876222348,1
2023-09,occ22_20,"Installation, Maintenance, and Repair Occupations",0.4285714285714285,0.04503199555505043,0.01929942666645018,0.2967032967032967,0.4678636830586449,1
2023-09,occ22_21,Production Occupations,0.3333333333333333,0.02345886844659776,0.007819622815532586,0.13343799058084774,0.8395652507082461,0
2023-09,occ22_22,Transportation and Material Moving Occupations,0.1428571428571428,0.03579577651599645,0.005113682359428062,0.07535321821036106,0.4341219397622235,1
2023-10,occ22_01,Management Occupations,0.7619047619047619,0.055848816338143994,0.04255147911477637,0.5117739403453689,0.6810080944083203,0
2023-10,occ22_02,Business and Financial Operations Occupations,0.9047619047619048,0.05999300376952499,0.05427938436290356,0.6216640502354788,0.7097463828669083,0
2023-10,occ22_03,Computer and Mathematical Occupations,1.0,0.0723097423064875,0.0723097423064875,0.7613814756671899,0.8641926333607427,0
2023-10,occ22_04,Architecture and Engineering Occupations,0.8571428571428571,0.04926883016800527,0.042230425858290226,0.5086342229199372,0.7506096088375753,0
2023-10,occ22_05,"Life, Physical, and Social Science Occupations",0.9523809523809524,0.05528458262983668,0.05265198345698732,0.598116169544741,0.6380444849942631,0
2023-10,occ22_06,Community and Social Service Occupations,0.6190476190476191,0.046154138871652636,0.02857160977768973,0.37362637362637363,0.7328886536635482,0
2023-10,occ22_07,Legal Occupations,0.7142857142857143,0.0674947428162117,0.048210530583008365,0.5604395604395604,0.7400208887946538,0
2023-10,occ22_08,Educational Instruction and Library Occupations,0.4761904761904761,0.06610987277516141,0.031480891797695906,0.3956043956043956,0.9590229433518596,0
2023-10,occ22_09,"Arts, Design, Entertainment, Sports, and Media Occupations",0.3809523809523809,0.0773456361096906,0.02946500423226308,0.3783359497645212,0.7108046809483876,0
2023-10,occ22_10,Healthcare Practitioners and Technical Occupations,0.8095238095238095,0.03982850886496036,0.03224212622401553,0.40816326530612246,0.9366029655822332,0
2023-10,occ22_11,Healthcare Support Occupations,0.5238095238095238,0.03884694888369314,0.020348401796220217,0.3139717425431711,0.9687580558539204,0
2023-10,occ22_12,Protective Service Occupations,0.6666666666666666,0.06267860703722251,0.04178573802481501,0.5039246467817896,0.3690887899051142,1
2023-10,occ22_13,Food Preparation and Serving Related Occupations,0.0,0.042460534407434074,0.0,0.02197802197802198,0.1285775149667609,1
2023-10,occ22_14,Building and Grounds Cleaning and Maintenance Occupations,0.0476190476190476,0.060945395783476145,0.0029021617039750535,0.04709576138147567,0.722387548485819,0
2023-10,occ22_15,Personal Care and Service Occupations,0.0952380952380952,0.05224978134805303,0.004976169652195525,0.07221350078492936,0.3321128382997038,1
2023-10,occ22_16,Sales and Related Occupations,0.238095238095238,0.03652061360211041,0.008695384190978666,0.15698587127158556,0.8138577421401217,0
2023-10,occ22_17,Office and Administrative Support Occupations,0.5714285714285714,0.05216566506204915,0.029808951464028084,0.38304552590266877,0.6655390310494093,0
2023-10,occ22_18,"Farming, Fishing, and Forestry Occupations",0.1904761904761904,0.03457865280038104,0.006586410057215434,0.10832025117739404,0.1632273572497619,1
2023-10,occ22_19,Construction and Extraction Occupations,0.2857142857142857,0.05076985934158607,0.01450567409759602,0.260596546310832,0.1118327876222348,1
2023-10,occ22_20,"Installation, Maintenance, and Repair Occupations",0.4285714285714285,0.04578260080059601,0.01962111462882686,0.29984301412872844,0.4678636830586449,1
2023-10,occ22_21,Production Occupations,0.3333333333333333,0.023910867006092833,0.007970289002030943,0.13657770800627944,0.8395652507082461,0
